Nylgimelkin,Russia,300650
Snezhniy,Russia,300660
Iktunup,Russia,300670
Spokoiny,Russia,300671
Ostry,Russia,300680
Snegovoy,Russia,300690
Severny,Russia,300700
Iettunup,Russia,300710
Voyampolsky,Russia,300720
Udokan Plateau,Russia,302030
Vitim Plateau,Russia,302040
Tunkin Depression,Russia,302050
Jom-Bolok,Russia,302060
Azas Plateau,Russia,302070
Taryatu-Chulutu,Mongolia,303010
Khanuy Gol,Mongolia,303020
Bus-Obo,Mongolia,303030
Dariganga Volcanic Field,Mongolia,303040
Middle Gobi,Mongolia,303050
Kunlun Volcanic Group,China,304030
Honggeertu,China,305010
Arxan-Chaihe,China,305011
Keluo Group,China,305020
Wudalianchi,China,305030
Jingbo,China,305040
Longgang Group,China,305050
Changbaishan,China-North Korea,305060
Ch'uga-ryong,North Korea-South Korea,306020
Ulreung,South Korea,306030
Halla,South Korea,306040
Buldir,United States,311010
Kiska,United States,311020
Segula,United States,311030
Davidof,United States,311040
Little Sitkin,United States,311050
Semisopochnoi,United States,311060
Gareloi,United States,311070
Tanaga,United States,311080
Takawangha,United States,311090
Bobrof,United States,311100
Kanaga,United States,311110
Moffett,United States,311111
Great Sitkin,United States,311120
Kasatochi,United States,311130
Koniuji,United States,311140
Atka,United States,311160
Korovin,United States,311161
Seguam,United States,311180
Amukta,United States,311190
Chagulak,United States,311200
Yunaska,United States,311210
Herbert,United States,311220
Carlisle,United States,311230
Cleveland,United States,311240
Tana,United States,311241
Uliaga,United States,311250
Kagamil,United States,311260
Vsevidof,United States,311270
Recheschnoi,United States,311280
Okmok,United States,311290
Bogoslof,United States,311300
Makushin,United States,311310
Akutan,United States,311320
Westdahl,United States,311340
Fisher,United States,311350
Shishaldin,United States,311360
Isanotski,United States,311370
Roundtop,United States,311380
Amak,United States,311390
Frosty,United States,312010
Dutton,United States,312011
Emmons Lake,United States,312020
Pavlof,United States,312030
Pavlof Sister,United States,312040
Dana,United States,312050
Stepovak Bay 2,United States,312051
Stepovak Bay 3,United States,312052
Stepovak Bay 4,United States,312053
Kupreanof,United States,312060
Veniaminof,United States,312070
Black Peak,United States,312080
Aniakchak,United States,312090
Yantarni,United States,312100
Chiginagak,United States,312110
Kialagvik,United States,312120
Ugashik-Peulik,United States,312130
Ukinrek Maars,United States,312131
Unnamed,United States,312132
